case,level,agl_median_m,agl_min_m,agl_max_m,w_abs_max,w_abs_p99,w_grid_abs_max,w_grid_abs_p99,speed_mean,speed_p95
none_20km,0,144.748291015625,142.76171875,146.42535400390625,2.652554512023926,1.3600486516952515,1.4445620775222778,0.7833570241928101,1.7210077047348022,3.329885959625244
none_20km,1,434.2344970703125,425.396240234375,441.69610595703125,4.313472747802734,1.5291030406951904,2.7483620643615723,1.3001227378845215,1.973763108253479,4.47957181930542
none_20km,2,728.4619140625,710.606201171875,743.5361328125,4.5060014724731445,1.5168914794921875,3.4643924236297607,1.6166263818740845,2.4136316776275635,4.873229503631592
none_20km,3,1028.30078125,999.784912109375,1052.3746337890625,4.868746757507324,1.5430035591125488,6.2006001472473145,1.9731800556182861,2.8868424892425537,5.448116779327393
none_20km,4,1334.2421875,1293.6513671875,1368.51025390625,6.175013542175293,1.5474258661270142,6.216918468475342,2.3980307579040527,3.4297032356262207,6.347934246063232
none_20km,5,1646.655029296875,1592.70263671875,1692.202880859375,5.640542507171631,1.5865931510925293,6.535257816314697,2.8311948776245117,3.895677089691162,7.034233093261719
none_20km,6,1965.853759765625,1897.33740234375,2023.697509765625,5.869060516357422,1.6580359935760498,6.626929759979248,3.1639652252197266,4.1811299324035645,7.309362888336182
none_20km,7,2292.123291015625,2207.89599609375,2363.23046875,6.157165050506592,1.717296838760376,6.7966179847717285,3.3133134841918945,4.296821117401123,7.334325790405273
none_20km,8,2625.7333984375,2524.69140625,2711.036376953125,6.461323261260986,1.7821612358093262,6.919036865234375,3.232966661453247,4.26538610458374,7.261144161224365
none_20km,9,2966.9482421875,2848.017578125,3067.353515625,6.646966934204102,1.8417701721191406,7.74755334854126,3.033341646194458,4.0816874504089355,6.922372341156006
none_20km,10,3316.02685546875,3178.158203125,3432.419677734375,6.733285427093506,1.903335690498352,7.269741535186768,2.992852210998535,3.975745677947998,6.5727105140686035
none_20km,11,3673.22705078125,3515.390625,3806.47705078125,7.151834011077881,1.9750676155090332,6.344438552856445,3.1568119525909424,4.051738262176514,7.190526008605957
none_20km,12,4038.80859375,3859.990234375,4189.77197265625,6.965324878692627,2.063706874847412,6.10365104675293,3.4502177238464355,4.358919143676758,8.145071029663086
none_20km,13,4413.0341796875,4212.2333984375,4582.556640625,7.428104400634766,2.157914400100708,7.309013843536377,3.7474050521850586,4.825092792510986,9.662008285522461
none_20km,14,4796.171875,4572.3984375,4985.087890625,7.509792327880859,2.2668979167938232,7.5820722579956055,3.919832229614258,5.092319488525391,9.856858253479004
none_20km,15,5188.4921875,4940.76611328125,5397.62939453125,7.643467903137207,2.375725030899048,7.944948196411133,3.8125884532928467,5.058079242706299,9.540523529052734
