case,target_agl_m,selected_level_mode,selected_agl_mean_m,selected_agl_min_m,selected_agl_max_m,speed_mean,speed_p50,speed_p95,speed_p99,speed_max,w_abs_p99,w_abs_max,w_grid_abs_p99,w_grid_abs_max
v1_auto1_n60_top12_s26,50.0,2,56.46095863578342,34.5023193359375,65.49920654296875,1.7639837265014648,1.5156461000442505,3.9866933822631836,5.447306156158447,8.904499053955078,1.3029149770736694,3.206587076187134,0.3071138858795166,1.1123586893081665
v1_auto1_n60_top12_s26,100.0,3,96.34347762561502,83.5552978515625,116.4329833984375,1.7730622291564941,1.4898631572723389,4.142648696899414,5.698233127593994,9.217150688171387,1.2604215145111084,3.164790630340576,0.49412569403648376,1.5173861980438232
v1_auto1_n60_top12_s26,200.0,6,199.49422953111008,175.4464111328125,224.5601806640625,1.8155521154403687,1.5093865394592285,4.349943161010742,5.908838748931885,9.796796798706055,1.115058422088623,2.751077890396118,0.8487701416015625,2.4879655838012695
v2_auto1_n80_top12_s26,50.0,2,44.870684486067056,39.7080078125,60.283935546875,1.7676584720611572,1.5450338125228882,3.917619466781616,5.342252731323242,8.758776664733887,1.3061238527297974,3.1848626136779785,0.2567993700504303,0.8691127300262451
v2_auto1_n80_top12_s26,100.0,4,99.18285963502967,86.5238037109375,113.47119140625,1.764714002609253,1.4762238264083862,4.154242515563965,5.7133331298828125,9.301082611083984,1.2514934539794922,3.146786689758301,0.4811849892139435,1.5542231798171997
v2_auto1_n80_top12_s26,200.0,7,198.63614275338827,178.2008056640625,221.8350830078125,1.8099108934402466,1.5052741765975952,4.331986904144287,5.88055944442749,9.799123764038086,1.1047263145446777,2.7944130897521973,0.8421065211296082,2.4000563621520996
v3_auto1_n60_top10_s26,50.0,2,54.466986148173156,34.5150146484375,65.4874267578125,1.7632746696472168,1.517138123512268,3.982534646987915,5.443484306335449,8.929635047912598,1.3020278215408325,3.1959893703460693,0.3140829801559448,1.138414740562439
v3_auto1_n60_top10_s26,100.0,3,98.61972633365305,83.60888671875,116.3927001953125,1.7740036249160767,1.4913097620010376,4.147829532623291,5.717820167541504,9.22752857208252,1.2532272338867188,3.157228469848633,0.5397272706031799,1.7051316499710083
v3_auto1_n60_top10_s26,200.0,6,199.87176242032405,175.604736328125,224.37255859375,1.8157439231872559,1.5073821544647217,4.347403049468994,5.9113640785217285,9.812119483947754,1.1078033447265625,2.758821964263916,0.9606893062591553,2.5297179222106934
v4_auto1_n70_top14_s26,50.0,2,58.08019975808459,34.50634765625,65.491455078125,1.7645502090454102,1.5150995254516602,3.993108034133911,5.461801528930664,8.888129234313965,1.3048871755599976,3.214529514312744,0.30363306403160095,1.0950382947921753
