target_agl_m,reference,comparison,speed_mean_diff,speed_mean_abs_diff,speed_p95_abs_diff,speed_max_abs_diff,w_abs_mean_diff,w_abs_p95_abs_diff
50.0,v1_auto1_n60_top12_s26,v2_auto1_n80_top12_s26,0.003674807958304882,0.06756489723920822,0.22542257606983185,3.144655704498291,0.008960158564150333,0.06759791076183319
50.0,v1_auto1_n60_top12_s26,v3_auto1_n60_top10_s26,-0.0007089537684805691,0.01424469891935587,0.03227360174059868,2.9152119159698486,0.0010793943656608462,0.00952584482729435
50.0,v1_auto1_n60_top12_s26,v4_auto1_n70_top14_s26,0.0005665645585395396,0.009991759434342384,0.020090293139219284,1.546278715133667,-0.000832843070384115,0.006046178285032511
50.0,v1_auto1_n60_top12_s26,v5_auto4_n70_top12_s26,0.004229770973324776,0.024182751774787903,0.07493441551923752,1.5838556289672852,-0.0019012258853763342,0.020973311737179756
50.0,v1_auto1_n60_top12_s26,s0_auto1_n60_top12_s11,0.003164081834256649,0.026591116562485695,0.0878409817814827,2.132561206817627,-0.000821526104118675,0.022480856627225876
50.0,v1_auto1_n60_top12_s26,s1_auto1_n60_top12_s15_3,0.003928021993488073,0.022002775222063065,0.07256219536066055,2.1301136016845703,-0.0005939443362876773,0.01823193021118641
50.0,v1_auto1_n60_top12_s26,s2_auto1_n60_top12_s24,0.004770579282194376,0.01816406287252903,0.06379278004169464,2.136911392211914,-0.00014834878675173968,0.015269320458173752
100.0,v1_auto1_n60_top12_s26,v2_auto1_n80_top12_s26,-0.008348319679498672,0.02724151499569416,0.09105633944272995,0.6127660274505615,-0.0037182646337896585,0.031124016270041466
100.0,v1_auto1_n60_top12_s26,v3_auto1_n60_top10_s26,0.0009413247462362051,0.020776323974132538,0.08942890167236328,0.6583342552185059,-0.0013510026037693024,0.03077584132552147
100.0,v1_auto1_n60_top12_s26,v4_auto1_n70_top14_s26,-0.004506617318838835,0.014498316682875156,0.07158655673265457,0.561363935470581,0.00036832006298936903,0.019279900938272476
100.0,v1_auto1_n60_top12_s26,v5_auto4_n70_top12_s26,-0.009340154938399792,0.03423057496547699,0.11549832671880722,0.5654008388519287,-0.0034850570373237133,0.036409974098205566
100.0,v1_auto1_n60_top12_s26,s0_auto1_n60_top12_s11,-0.008234526962041855,0.025137215852737427,0.09257674217224121,0.6489691734313965,1.2111445357732009e-05,0.029897401109337807
100.0,v1_auto1_n60_top12_s26,s1_auto1_n60_top12_s15_3,-0.008203658275306225,0.02196694351732731,0.09463459253311157,0.47462964057922363,0.00035039446083828807,0.029066987335681915
100.0,v1_auto1_n60_top12_s26,s2_auto1_n60_top12_s24,-0.006194458808749914,0.019078649580478668,0.09249319136142731,0.5339726805686951,0.0009385909070260823,0.026416078209877014
200.0,v1_auto1_n60_top12_s26,v2_auto1_n80_top12_s26,-0.005641327705234289,0.047101788222789764,0.13953529298305511,0.5254034996032715,-0.0016788658685982227,0.04099874943494797
200.0,v1_auto1_n60_top12_s26,v3_auto1_n60_top10_s26,0.00019199812959413975,0.030384773388504982,0.11290644854307175,0.648155927658081,-0.0004161932156421244,0.02608618140220642
200.0,v1_auto1_n60_top12_s26,v4_auto1_n70_top14_s26,0.0016692504286766052,0.017586600035429,0.059279393404722214,0.7080674171447754,0.0002458764938637614,0.012585293501615524
200.0,v1_auto1_n60_top12_s26,v5_auto4_n70_top12_s26,-0.000142675286042504,0.06468790769577026,0.16900409758090973,0.528857946395874,-0.0007442074129357934,0.05083310604095459
200.0,v1_auto1_n60_top12_s26,s0_auto1_n60_top12_s11,-0.0026468313299119473,0.05935565009713173,0.1916942149400711,0.6715764999389648,0.004962658043950796,0.05493590980768204
200.0,v1_auto1_n60_top12_s26,s1_auto1_n60_top12_s15_3,0.009361641481518745,0.04140100255608559,0.138737291097641,0.6986770629882812,0.0006334237405098975,0.03271573781967163
200.0,v1_auto1_n60_top12_s26,s2_auto1_n60_top12_s24,0.002711243461817503,0.024733835831284523,0.08625482022762299,0.6431968212127686,-0.000694810354616493,0.02192448452115059
